rank,Youtuber,Subscribers,Category,Country,Channel_Type,Monthly_Earnings,Yearly_Earnings,Created_Year,College_Enrollment_Percentage
900,DJ Khaled,13100000,Music,Samoa,Music,2.0,18.0,2006.0,7.6
57,HAR PAL GEO,44600000,Entertainment,Pakistan,Entertainment,5300000.0,64200000.0,2008.0,9.0
186,HUM TV,28300000,Entertainment,Pakistan,Entertainment,2700000.0,32900000.0,2011.0,9.0
819,Geo News,13800000,News & Politics,Pakistan,News,400200.0,4800000.0,2007.0,9.0
66,ARY Digital HD,43200000,Entertainment,Pakistan,Entertainment,4600000.0,55200000.0,2016.0,9.0
417,tabii Urdu,19600000,Entertainment,Turkey,Entertainment,443200.0,5300000.0,2020.0,23.9
260,netd mï¿½ï¿,24100000,Music,Turkey,Music,1700000.0,20400000.0,2014.0,23.9
405,Green Gold TV - Official Channel,20000000,Film & Animation,India,Entertainment,0.0,0.0,2011.0,28.1
420,RKD Studios,19500000,Entertainment,India,Entertainment,0.0,0.0,2014.0,28.1
421,DLS News,19400000,News & Politics,India,News,128400.0,1500000.0,2017.0,28.1
423,etvteluguindia,19400000,Entertainment,India,Entertainment,1100000.0,13100000.0,2010.0,28.1
429,Sonotek,19200000,Entertainment,India,Music,114700.0,1400000.0,2011.0,28.1
436,Wow Kidz Action,19000000,Film & Animation,India,Entertainment,422800.0,5100000.0,2017.0,28.1
449,Triggered Insaan,18800000,Comedy,India,People,436100.0,5200000.0,2014.0,28.1
452,Shemaroo Comedy,18600000,Entertainment,India,Comedy,409700.0,4900000.0,2007.0,28.1
494,Priyal Kukreja,17800000,People & Blogs,India,People,1700000.0,20700000.0,2021.0,28.1
1,T-Series,245000000,Music,India,Music,9000000.0,108400000.0,2006.0,28.1
388,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,Education,India,Education,453700.0,5400000.0,2017.0,28.1
513,News18 India,17500000,News & Politics,India,News,1600000.0,18900000.0,2007.0,28.1
514,Fun For Kids TV - Hindi Rhymes,17500000,Entertainment,India,Entertainment,439400.0,5300000.0,2017.0,28.1
522,Taarak Mehta Ka Ooltah Chashmah,17300000,Entertainment,India,Entertainment,1300000.0,15900000.0,2014.0,28.1
534,Prajapati News,17000000,Comedy,India,Entertainment,30500.0,366100.0,2013.0,28.1
537,Pop Chartbusters,16900000,Music,India,Music,291600.0,3500000.0,2011.0,28.1
557,NMF News,16600000,News & Politics,India,News,236800.0,2800000.0,2013.0,28.1
558,SriBalajiMovies,16600000,Entertainment,India,Entertainment,616200.0,7400000.0,2011.0,28.1
559,Lahari Music - TSeries,16600000,Music,India,Music,356000.0,4300000.0,2011.0,28.1
564,BBC News Hindi,16500000,News & Politics,India,News,524800.0,6300000.0,2009.0,28.1
499,jaanvi patel,17700000,People & Blogs,India,People,1400000.0,16600000.0,2018.0,28.1
381,Emiway Bantai,20400000,Music,India,Music,165200.0,2000000.0,2013.0,28.1
348,Dangal TV Channel,21300000,Entertainment,India,Entertainment,2200000.0,26900000.0,2017.0,28.1
357,Dr. Vivek Bindra: Motivational Speaker,20900000,Education,India,Education,114400.0,1400000.0,2013.0,28.1
172,ashish chanchlani vines,29800000,Comedy,India,Comedy,104700.0,1300000.0,2009.0,28.1
180,infobells - Tamil,28900000,Education,India,Education,439300.0,5300000.0,2014.0,28.1
183,Aditya Movies,28400000,Movies,India,Film,909400.0,10900000.0,2012.0,28.1
185,infobells - Telugu,28300000,Education,India,Education,1200000.0,13800000.0,2014.0,28.1
187,Shemaroo Movies,28200000,Entertainment,India,Film,739900.0,8900000.0,2011.0,28.1
200,Crazy XYZ,27300000,Entertainment,India,Tech,408900.0,4900000.0,2017.0,28.1
202,Dushyant kukreja,27100000,Entertainment,India,Entertainment,1700000.0,20600000.0,2015.0,28.1
211,Goldmines Bollywood,26400000,Film & Animation,India,Film,398700.0,4800000.0,2015.0,28.1
238,The Lallantop,25200000,News & Politics,India,News,1100000.0,13100000.0,2015.0,28.1
254,Pen Movies,24300000,Film & Animation,India,Film,379400.0,4600000.0,2014.0,28.1
284,Tilak,23400000,Film & Animation,India,Film,1500000.0,17600000.0,2020.0,28.1
290,Wave Music Bhojpuri,23100000,Music,India,Music,210700.0,2500000.0,2014.0,28.1
293,unknown boy varun,23100000,Music,India,Music,1200000.0,14600000.0,2016.0,28.1
298,White Hill Music,23000000,Entertainment,India,Music,372700.0,4500000.0,2014.0,28.1
